GROUP,Category,Factor
duration.factor,01,1
duration.factor,02,1.380201558
duration.factor,03,1.688777111
duration.factor,04,1.577619034
duration.factor,05,1.743793447
duration.factor,06,2.032769273
duration.factor,07,2.065274034
duration.factor,08,2.261680738
duration.factor,09,2.404450715
duration.factor,10,2.427659963
duration.factor,11,2.491838043
duration.factor,12,2.737032126
duration.factor,13,2.943901994
duration.factor,14,2.683126455
duration.factor,15,2.766997906
duration.factor,16,2.831713972
duration.factor,17,2.861708927
duration.factor,18,2.844453911
duration.factor,19,2.781789922
duration.factor,20,2.899116343
duration.factor,21,2.894608432
duration.factor,22,2.901826663
duration.factor,23,2.944240147
duration.factor,24,2.992360786
duration.factor,25,3.061352323
attained_age,60,1
attained_age,61,1.145084099
attained_age,62,1.286592192
attained_age,63,1.491001839
attained_age,64,1.65181703
attained_age,65,1.840785805
attained_age,66,1.968673962
attained_age,67,2.114812026
attained_age,68,2.169796055
attained_age,69,2.780570175
attained_age,70,2.830297468
attained_age,71,3.122355884
attained_age,72,3.394833291
attained_age,73,3.728018365
attained_age,74,4.472271434
attained_age,75,4.678683401
attained_age,76,5.168654766
attained_age,77,5.859778857
attained_age,78,6.107504369
attained_age,79,7.065335331
attained_age,80,7.429247434
attained_age,81,9.287703146
attained_age,82,9.554679813
attained_age,83,10.92450024
attained_age,84,12.38695145
attained_age,85,14.14400721
attained_age,86,15.99866204
attained_age,87,16.52364335
attained_age,88,19.23457289
attained_age,89,22.49790884
attained_age,90,26.64774401
gender,Male,1
gender,Female,1
face_amount_band,01,1
face_amount_band,02,0.902371895
face_amount_band,03,0.801311559
face_amount_band,04,0.708512803
face_amount_band,05,0.613228301
face_amount_band,06,0.55423527
face_amount_band,07,0.601261066
face_amount_band,08,0.597891024
face_amount_band,09,0.591917009
face_amount_band,10,0.644768668
face_amount_band,11,0.171563667
insurance_plan,Other,1
insurance_plan,Perm,0.982180648
insurance_plan,Term,0.870270641
insurance_plan,UL,0.958207388
insurance_plan,ULSG,0.781302215
insurance_plan,VL,1.076205635
insurance_plan,VLSG,1.025400092
